tenor,share
1,0.33609185740080166
2,0.11777252212217447
3,0.08602620564894405
4,0.06316864705596825
5,0.07382889882608834
6,0.037601372779685206
7,0.04173975957065843
8,0.027255328406025934
9,0.02179962058722258
10,0.020720520925708814
11,0
12,9.941308184472808e-4
13,6.247682786301069e-4
14,0.0016547371802948336
15,0.0019360803675504594
16,0.006961454830755698
17,0.019163073550991457
18,0.018808594082148893
19,0.013853389935236902
20,0.013603591428921919
21,0.007193681437364837
22,0.007057184377973922
23,0.007012040745860436
24,0.007257802883251708
25,0.008488548664166345
26,0.009702807109377435
27,0.013423283262342905
28,0.014376729436923742
29,0.011288865911708114
30,0.010594502374775239
